teks,location,bulan,word_length,clean,clean_stem,sentiment,sentiment_text,num_sentimen_lexicon,cleaned
setuju  tidak kesah klu frontliner terima vaksin  sbb mmg layak  adun exco jasa pon takde rakyat  keja tidak   nak vaksin  perangai mcm adham baba korg  part ambek gmbr dpn skali  keja taknak  https  tcozedvjlehla,Kalimantan Tengah,Februari,30,setuju kesah klu frontliner terima mmg layak adun exco jasa pon takde rakyat keja nak perangai mcm adham baba korg part ambek gmbr dpn skali keja taknak tcozedvjlehla,tuju kesah klu frontliner terima mmg layak adun exco jasa pon takde rakyat keja nak perangai mcm adham baba korg part ambek gmbr dpn skali keja taknak tcozedvjlehla,14,positive,1,tuju tidak kesah klu frontliner terima vaksin sbb mmg layak adun exco jasa pon takde rakyat keja tidak nak vaksin perangai mcm adham baba korg part ambek gmbr dpn skali keja taknak tcozedvjlehla
 cnnindonesia meanwhile nurdin  alhamdulillah vaksin duluan  tujuanku korupsi,Kalimantan Tengah,Februari,7,cnnindonesia meanwhile nurdin alhamdulillah duluan tujuanku korupsi,cnnindonesia meanwhile nurdin alhamdulillah duluan tuju korupsi,6,positive,1,cnnindonesia meanwhile nurdin alhamdulillah vaksin duluan tuju korupsi
 mmmmonana kontra statement bilang  tidak mengganggu proses vaksin pemerintah   jalur vaksin gini mengganggu  setuju rata² karyawan  jalur  akselerasi   sih dr baca,Kalimantan Tengah,Februari,17,monana kontra statement bilang mengganggu proses pemerintah jalur gini mengganggu setuju karyawan jalur akselerasi sih dr baca,monana kontra statement bilang ganggu proses perintah jalur gin ganggu tuju karyawan jalur akselerasi sih dr baca,-6,negative,2,mmmmonana kontra statement bilang tidak ganggu proses vaksin perintah jalur vaksin gin ganggu tuju rata karyawan jalur akselerasi sih dr baca
 khairulhafidz bukan haritu ramai ramai suruh politician vaksin mudarat  mudarat kat depe  😂,Kalimantan Tengah,Februari,10,khairulhafidz haritu ramai ramai suruh politician mudarat mudarat kat depe,khairulhafidz haritu ramai ramai suruh politician mudarat mudarat kat depe,-6,negative,2,khairulhafidz bukan haritu ramai ramai suruh politician vaksin mudarat mudarat kat depe
berapi jugak menjenguk adun vaksin awal  kepala hotak tidak pakai ,Kalimantan Tengah,Februari,7,berapi jugak menjenguk adun kepala hotak pakai,rap jugak jenguk adun kepala hotak pakai,-2,negative,2,rap jugak jenguk adun vaksin awal kepala hotak tidak pakai
hari² gabut tidak pekerjaan  suntik vaksin enak,Kalimantan Tengah,Februari,3,gabut pekerjaan enak,gabut kerja enak,2,positive,1,hari gabut tidak kerja suntik vaksin enak
cucuk jarum politik amp  vip potong que ambil vaksin,Kalimantan Tengah,Februari,8,cucuk jarum politik amp vip potong que ambil,cucuk jarum politik amp vip potong que ambil,-15,negative,2,cucuk jarum politik amp vip potong que ambil vaksin
kerajaan minoriti pn  langgar sop ✅ spread virus ✅ curi vaksin ✅ claim berjaya mentadbir ✅,Kalimantan Tengah,Februari,10,kerajaan minoriti pn langgar sop spread curi claim berjaya mentadbir,raja minoriti pn langgar sop spread curi claim jaya tadbir,-4,negative,2,raja minoriti pn langgar sop spread virus curi vaksin claim jaya tadbir
stop babi babi kebulur tidak  utamakan healthcare worker bangsat  tak vips langgar sop  nak curi vaksin frontliner  https  ,Kalimantan Tengah,Februari,14,stop babi babi kebulur utamakan healthcare worker bangsat vips langgar sop nak curi frontliner,stop babi babi bulur utama healthcare worker bangsat vips langgar sop nak curi frontliner,-15,negative,2,stop babi babi bulur tidak utama healthcare worker bangsat tak vips langgar sop nak curi vaksin frontliner
 muhimadudin  thearieair    wiwikherma  desakusurga  baswirob  ibrahimcruise daftar yuks  open promote  programfolbac  sejutapromotor best regard   thearieair vaksin ekonomi bangkit follow promotornya   muhimadudin   like rep  sukseskan vaksinasi  programfolback,Kalimantan Tengah,Februari,24,muhimadudin thearieair wiwikherma desakusurga baswirob ibrahimcruise daftar yuks open promote programfolbac sejutapromotor best regard thearieair ekonomi bangkit follow promotornya muhimadudin like rep sukseskan programfolback,muhimadudin thearieair wiwikherma desakusurga baswirob ibrahimcruise daftar yuks open promote programfolbac sejutapromotor best regard thearieair ekonomi bangkit follow promotor muhimadudin like rep sukses programfolback,6,positive,1,muhimadudin thearieair wiwikherma desakusurga baswirob ibrahimcruise daftar yuks open promote programfolbac sejutapromotor best regard thearieair vaksin ekonomi bangkit follow promotor muhimadudin like rep sukses vaksinasi programfolback
jom daftar vaksin  kslmtn  https  tcoivwkchapir,Kalimantan Tengah,Februari,4,jom daftar kslmtn tcoivwkchapir,jom daftar kslmtn tcoivwkchapir,1,positive,1,jom daftar vaksin kslmtn tcoivwkchapir
dah vaksin  issue potong que  kasi setel frontliner  ✌️ ,Kalimantan Tengah,Februari,7,deh issue potong que kasi setel frontliner,deh issue potong que kasi setel frontliner,-5,negative,2,dah vaksin issue potong que kasi setel frontliner
dah slow kerja  lepas tu suntikan vaksin  menteri menteri tidak takyah takpe  plus they  reply not even frontliners  https  ,Kalimantan Tengah,Februari,16,deh slow kerja lepas tu suntikan menteri menteri takyah takpe plus they reply not even frontliners,deh slow kerja lepas tu sunti menteri menteri takyah takpe plus they reply not even frontliners,5,positive,1,dah slow kerja lepas tu sunti vaksin menteri menteri tidak takyah takpe plus they reply not even frontliners
 agenda vaksin sinovac keluaran china berkesan cegah   https   https  tcoprzaheexsg,Kalimantan Tengah,Februari,7,agenda sinovac keluaran china berkesan cegah tcoprzaheexsg,agenda sinovac keluar china kesan cegah tcoprzaheexsg,-1,negative,2,agenda vaksin sinovac keluar china kesan cegah tcoprzaheexsg
amende laaaa cucuk vaksin pon potong queue,Kalimantan Tengah,Februari,5,amende cucuk pon potong queue,amende cucuk pon potong queue,-5,negative,2,amende laaaa cucuk vaksin pon potong queue
abis vaksin cvd efek sampingnya nafsu makan nambah 🤣 heran deh🤣,Kalimantan Tengah,Maret,9,habis cvd efek sampingnya nafsu makan nambah heran deh,habis cvd efek samping nafsu makan nambah heran deh,7,positive,1,abis vaksin cvd efek samping nafsu makan nambah heran deh
abis vaksin semaleman panas  menggigil pusing allah iki astrazeneca efeknya badan ,Kalimantan Tengah,Maret,10,habis semaleman panas menggigil pusing allah iki astrazeneca efeknya badan,habis maleman panas gigil pusing allah iki astrazeneca efek badan,11,positive,1,abis vaksin maleman panas gigil pusing allah iki astrazeneca efek badan
 jokowi perangkat desa staf desa dinomor duakan vaksin  perangkat desa pelayanan masyarakat desa ,Kalimantan Tengah,Maret,12,jokowi perangkat desa staf desa dinomor duakan perangkat desa pelayanan masyarakat desa,jokowi perangkat desa staf desa nomor dua perangkat desa layan masyarakat desa,3,positive,1,jokowi perangkat desa staf desa nomor dua vaksin perangkat desa layan masyarakat desa
habis vaksin bikin mager gini 😬,Kalimantan Tengah,Maret,4,habis bikin mager gini,habis bikin mager gin,-1,negative,2,habis vaksin bikin mager gin
bahtsul masail mwc nu kec  nglegok desa sumberasri  sosialisasi vaksin puasa  https  tcokceevknuvk,Kalimantan Tengah,Maret,11,bahtsul masail mwc nu kecamatan nglegok desa sumberasri sosialisasi puasa tcokceevknuvk,bahtsul masail mwc nu camat nglegok desa sumberasri sosialisasi puasa tcokceevknuvk,-2,negative,2,bahtsul masail mwc nu kec nglegok desa sumberasri sosialisasi vaksin puasa tcokceevknuvk
 mysumber walaupon selangor  xstuju rentas  vaksin capai    rentas must a ,Kalimantan Tengah,Maret,9,mysumber walaupon selangor xstuju rentas capai rentas must a,mysumber walaupon selangor xstuju rentas capai rentas must a,4,positive,1,mysumber walaupon selangor xstuju rentas vaksin capai rentas must a
vaksin dos sakit ditinggal tercinta sakit  🥱😴💤  selamatmalam,Kalimantan Tengah,Maret,6,dos sakit ditinggal tercinta sakit selamatmalam,dos sakit tinggal cinta sakit selamatmalam,-6,negative,2,vaksin dos sakit tinggal cinta sakit selamatmalam
   tulisan membunuh rokok tidak takut  diisep rokoknya  sok sok an takut covid  vaksin ,Kalimantan Tengah,Maret,10,tulisan membunuh rokok takut diisep rokoknya sok sok an takut,tulis bunuh rokok takut diisep rokok sok sok an takut,-9,negative,2,tulis bunuh rokok tidak takut diisep rokok sok sok an takut covid vaksin
 muaznazid ingatkan frontliner deh vaksin ,Kalimantan Tengah,Maret,4,muaznazid ingatkan frontliner deh,muaznazid ingat frontliner deh,2,positive,1,muaznazid ingat frontliner deh vaksin
dapet whatsapp lusa vaksin,Kalimantan Tengah,Maret,2,whatsapp lusa,whatsapp lusa,0,neutral,0,dapet whatsapp lusa vaksin
 salatiga vaksin   salatiga https  ,Kalimantan Tengah,Maret,2,salatiga salatiga,salatiga salatiga,0,neutral,0,salatiga vaksin salatiga
dekdekan besok vaksin  vaksinny  expired 👉👈,Kalimantan Tengah,Maret,4,dekdekan besok vaksinny expired,dekdekan besok vaksinny expired,0,neutral,0,dekdekan besok vaksin vaksinny expired
 sekitarku g vaksin  mreka takut katanya  halah senenge do kemakan isu bohong 😑 aq ae gelem vaksin 😑,Kalimantan Tengah,Maret,12,sekitarku g mreka takut halah senenge do kemakan isu bohong ae gelem,sekitar g mreka takut halah senenge do makan isu bohong ae gelem,-9,negative,2,sekitar g vaksin mreka takut kata halah senenge do makan isu bohong aq ae gelem vaksin
ga kebayang paginya vaksin  siangnya ttp kerja kayak iparku  alhamdulillah ttp bersyukur,Kalimantan Tengah,Maret,11,ga kebayang paginya siangnya ttp kerja kayak iparku alhamdulillah ttp bersyukur,ga bayang pagi siang ttp kerja kayak ipar alhamdulillah ttp syukur,8,positive,1,ga bayang pagi vaksin siang ttp kerja kayak ipar alhamdulillah ttp syukur
abis subuhan sembari browsing gejala vaksin  minum air putih mungkin biar enakan badan ,Kalimantan Tengah,Maret,11,habis subuhan sembari browsing gejala minum air putih biar enakan badan,habis subuh sembari browsing gejala minum air putih biar enak badan,-2,negative,2,abis subuh sembari browsing gejala vaksin minum air putih mungkin biar enak badan
 fiabukanvallen iyaaa  habis vaksin ngantuk banget motor nguap muluuuu,Kalimantan Tengah,April,8,fiabukanvallen iyaaa habis ngantuk banget motor nguap melulu,fiabukanvallen iyaaa habis ngantuk banget motor nguap melulu,-1,negative,2,fiabukanvallen iyaaa habis vaksin ngantuk banget motor nguap muluuuu
memang mampos tidak vaksin,Kalimantan Tengah,April,1,mampos,mampos,0,neutral,0,memang mampos tidak vaksin
oiya w ga join grup  ga informasi  gantiin teman habis vaksin hepatitis  diinvite  ga digantiin kick  gantiin ga  😁😁😁,Kalimantan Tengah,April,17,oiya w ga join grup ga informasi gantiin teman habis hepatitis diinvite ga digantiin kick gantiin ga,oiya w ga join grup ga informasi gantiin teman habis hepatitis diinvite ga digantiin kick gantiin ga,-4,negative,2,oiya w ga join grup ga informasi gantiin teman habis vaksin hepatitis diinvite ga digantiin kick gantiin ga
vaksin  cokelatband  edwincokelat  ronnyfebry  cokelaternest  axelandaviar    aiurp  bcgarut  bcbandung  bccirebon  bcina  bcmedan  bcpwk  bcsby  bcsubang  bcsumedang https  ,Kalimantan Tengah,April,15,cokelatband edwincokelat ronnyfebry cokelaternest axelandaviar aiurp bcgarut bcbandung bccirebon bcina bcmedan bcpwk bcsby bcsubang bcsumedang,cokelatband edwincokelat ronnyfebry cokelaternest axelandaviar aiurp bcgarut bcbandung bccirebon bcina bcmedan bcpwk bcsby bcsubang bcsumedang,0,neutral,0,vaksin cokelatband edwincokelat ronnyfebry cokelaternest axelandaviar aiurp bcgarut bcbandung bccirebon bcina bcmedan bcpwk bcsby bcsubang bcsumedang
 mirazhme  fahiraidris  tribunnews yes  same with me  vaksin kantor  berharap vaksin  ga wfh  pending kerjaan 🤣🤣,Kalimantan Tengah,April,13,mirazhme fahiraidris tribunnews yes same with me kantor berharap ga wfh pending kerjaan,mirazhme fahiraidris tribunnews yes same with me kantor harap ga wfh pending kerja,5,positive,1,mirazhme fahiraidris tribunnews yes same with me vaksin kantor harap vaksin ga wfh pending kerja
bubarkan satgas covid  cabut anggaran covid  stop wajib masker amp  vaksin  hiduplah normal  kebijakan pemerintah mematikan covid melarang solusi     jokowi,Kalimantan Tengah,April,16,bubarkan satgas pergi anggaran stop wajib masker amp hiduplah normal kebijakan pemerintah mematikan melarang solusi jokowi,bubar satgas pergi anggar stop wajib masker amp hidup normal bijak perintah mati larang solusi jokowi,15,positive,1,bubar satgas covid cabut anggar covid stop wajib masker amp vaksin hidup normal bijak perintah mati covid larang solusi jokowi
huaah vaksin kuaatt 😂 https  ,Kalimantan Tengah,April,2,huaah kuaatt,huaah kuaatt,0,neutral,0,huaah vaksin kuaatt
salam nuzul quran  semoga rahmat amp  keberkatan peristiwa ramadan penuh bermakna   staysafe dalam  amp  moga vaksin dalam terdekat keselamatan   lindungidirilindungisemua https   https  ,Kalimantan Tengah,April,17,salam nuzul quran semoga rahmat amp keberkatan peristiwa ramadan penuh bermakna staysafe amp moga terdekat keselamatan lindungidirilindungisemua,salam nuzul quran moga rahmat amp berkat peristiwa ramadan penuh makna staysafe amp moga dekat selamat lindungidirilindungisemua,12,positive,1,salam nuzul quran moga rahmat amp berkat peristiwa ramadan penuh makna staysafe dalam amp moga vaksin dalam dekat selamat lindungidirilindungisemua
gradak druduk deh mapan kasur jebul besok vaksin  🤕 diinfo jam  masyaallah https  ,Kalimantan Tengah,April,10,gradak druduk deh mapan kasur jebul besok diinfo jam masyaallah,gradak druduk deh mapan kasur jebul besok info jam masyaallah,-4,negative,2,gradak druduk deh mapan kasur jebul besok vaksin info jam masyaallah
 mrsayuartha udh vaksin bunda ,Kalimantan Tengah,April,2,mrsayuartha bunda,mrsayuartha bunda,3,positive,1,mrsayuartha udh vaksin bunda
 kkmputrajaya deh vaksin kene  jugak abang kkm   mungkin nk kene tunggu bunuh time quarantine dkt hotel tu xyah ade kuarantin kot 🤔,Kalimantan Tengah,April,19,kkmputrajaya deh kene jugak abang kkm nk kene tunggu bunuh time quarantine dkt hotel tu xyah ade kuarantin kot,kkmputrajaya deh kene jugak abang kkm nk kene tunggu bunuh time quarantine dkt hotel tu xyah ade kuarantin kot,-4,negative,2,kkmputrajaya deh vaksin kene jugak abang kkm mungkin nk kene tunggu bunuh time quarantine dkt hotel tu xyah ade kuarantin kot
je soalan  kome tidak malu post tu baca  nampak hmmm takpelah malas cakap bye  btw sapa anti vac nk unfollow direct je cakep tk suka anti vac  nak amik vaksin takut kena cucuk hahahaha,Kalimantan Tengah,Mei,32,je soalan kome malu post tu baca nampak hmmm takpelah malas cakap bye ngomong-ngomong sapa anti vac nk unfollow direct je cakep tk suka anti vac nak amik takut kena cucuk hahahaha,je soal kome malu post tu baca nampak hmmm takpelah malas cakap bye ngomong-ngomong sapa anti vac nk unfollow direct je cakep tk suka anti vac nak amik takut kena cucuk hahahaha,-4,negative,2,je soal kome tidak malu post tu baca nampak hmmm takpelah malas cakap bye btw sapa anti vac nk unfollow direct je cakep tk suka anti vac nak amik vaksin takut kena cucuk hahahaha
 jkjavmy salam  what if a  patient got a slot for up coming schedule for vaccine  what is procedure that vaksin  will initiate  postponed or rechedule for that person  or others  please advise  thanks ,Kalimantan Tengah,Mei,33,jkjavmy salam what if a patient got a slot for up coming schedule for vaccine what is procedure that will initiate postponed or rechedule for that person or others please advise terima kasih,jkjavmy salam what if a patient got a slot for up coming schedule for vaccine what is procedure that will initiate postponed or rechedule for that person or others please advise terima kasih,-2,negative,2,jkjavmy salam what if a patient got a slot for up coming schedule for vaccine what is procedure that vaksin will initiate postponed or rechedule for that person or others please advise thanks
hi  jkjavmy  dose appointment  jun  wtckl  bukti temujanji berkuasa melepasi roadblock  adakah bawa teman adik hantar temujanji  terima kasih ,Kalimantan Tengah,Mei,19,hai jkjavmy dose appointment jun wtckl bukti temujanji berkuasa melepasi roadblock adakah bawa teman adik hantar temujanji terima kasih,hai jkjavmy dose appointment jun wtckl bukti temujanji kuasa lepas roadblock ada bawa teman adik hantar temujanji terima kasih,10,positive,1,hi jkjavmy dose appointment jun wtckl bukti temujanji kuasa lepas roadblock ada bawa teman adik hantar temujanji terima kasih
yb menteri menyarankan penduduk bandar mendaftar vaksin bantuan pengurus pkd negara negara mencapai   penduduk divaksin menjelang hujung   kplb  luarbandarsejahtera  lindungdirilindungsemua,Kalimantan Tengah,Mei,19,yb menteri menyarankan penduduk bandar mendaftar bantuan pengurus pkd negara negara mencapai penduduk divaksin menjelang hujung kplb luarbandarsejahtera lindungdirilindungsemua,yb menteri saran duduk bandar daftar bantu urus pkd negara negara capai duduk vaksin jelang hujung kplb luarbandarsejahtera lindungdirilindungsemua,6,positive,1,yb menteri saran duduk bandar daftar vaksin bantu urus pkd negara negara capai duduk vaksin jelang hujung kplb luarbandarsejahtera lindungdirilindungsemua
alhamdulillah  bapa vaksin  ibu sahaja ,Kalimantan Tengah,Mei,3,alhamdulillah bapa sahaja,alhamdulillah bapa sahaja,10,positive,1,alhamdulillah bapa vaksin ibu sahaja
huhu takut pulak nak cucuk vaksin az esok  excited jugakk hahaha  doakan gais ♥️😘,Kalimantan Tengah,Mei,12,huhu takut pulak nak cucuk az esok excited jugakk hahaha doakan gais,huhu takut pulak nak cucuk az esok excited jugakk hahaha doa gais,0,neutral,0,huhu takut pulak nak cucuk vaksin az esok excited jugakk hahaha doa gais
haritu tidak nk tempah vaksin  saje cek mysejahtera  tetiba slot  syukur     ,Kalimantan Tengah,Mei,9,haritu nk tempah saje cek mysejahtera tetiba slot syukur,haritu nk tempah saje cek mysejahtera tetiba slot syukur,-2,negative,2,haritu tidak nk tempah vaksin saje cek mysejahtera tetiba slot syukur
while selangor   nak vaksin sanggup even tidak adik appt  bfr pkp  https  ,Kalimantan Tengah,Mei,9,while selangor nak sanggup even adik appt bfr pkp,while selangor nak sanggup even adik appt bfr pkp,2,positive,1,while selangor nak vaksin sanggup even tidak adik appt bfr pkp
 joharshukri jo  bukan ko xnak kena vaksin ker    ko tunggu spuknik   kerajaan kan deh beli az  pfizer deh,Kalimantan Tengah,Mei,15,joharshukri jo ko xnak kena ker ko tunggu spuknik kerajaan deh beli az pfizer deh,joharshukri jo ko xnak kena ker ko tunggu spuknik raja deh beli az pfizer deh,0,neutral,0,joharshukri jo bukan ko xnak kena vaksin ker ko tunggu spuknik raja kan deh beli az pfizer deh
semalam borak nurse  saje kawasan mcm lambat je nak vaksin  penduduk ramai taknak vaksin  rmai percaya berita kat ws kesihatan 😢 faktor jugak lambat bekalan  hmmmm,Kalimantan Tengah,Mei,23,semalam borak nurse saje kawasan mcm lambat je nak penduduk ramai taknak rmai percaya berita kat ws kesihatan faktor jugak lambat bekalan hm,malam borak nurse saje kawasan mcm lambat je nak duduk ramai taknak rmai percaya berita kat ws kesihatan faktor jugak lambat bekal hm,-1,negative,2,malam borak nurse saje kawasan mcm lambat je nak vaksin duduk ramai taknak vaksin rmai percaya berita kat ws kesihatan faktor jugak lambat bekal hmmmm
involves sheraton move  adun sabah  mkn  anti vaksin  https  ,Kalimantan Tengah,Mei,7,involves sheraton move adun sabah mkn anti,involves sheraton move adun sabah mkn anti,-2,negative,2,involves sheraton move adun sabah mkn anti vaksin
 ilhaaaaammmmmmm  jkjavmy tidak  https  ,Kalimantan Tengah,Mei,2,ilham jkjavmy,ilham jkjavmy,0,neutral,0,ilhaaaaammmmmmm jkjavmy tidak
 jerseyforum alhamdulillah min  penyintas covid vaksin  ,Kalimantan Tengah,Juni,4,jerseyforum alhamdulillah min penyintas,jerseyforum alhamdulillah min sintas,5,positive,1,jerseyforum alhamdulillah min sintas covid vaksin
bismillah vaksin  let s go  💪💪💪 https  ,Kalimantan Tengah,Juni,4,bismillah let s go,bismillah let s go,4,positive,1,bismillah vaksin let s go
 detikcom vaksin digalakkan tidak mengubah apapun ,Kalimantan Tengah,Juni,4,detikcom digalakkan mengubah apapun,detikcom galak ubah apa,-3,negative,2,detikcom vaksin galak tidak ubah apa
pariwisata dibuka  solusi diprioritaskan  tidak kerjasama—minimal vaksin  ayo  pelaku pariwisata desa menjerit  stop  bikin chaos teman ,Kalimantan Tengah,Juni,15,pariwisata dibuka solusi diprioritaskan kerjasama minimal ayo pelaku pariwisata desa menjerit stop bikin chaos teman,pariwisata buka solusi prioritas kerjasama minimal ayo laku pariwisata desa jerit stop bikin chaos teman,10,positive,1,pariwisata buka solusi prioritas tidak kerjasama minimal vaksin ayo laku pariwisata desa jerit stop bikin chaos teman
 tehl teman vaksin  rombongan awal kerja rs  kena covid  katabya vaksinnya bertahan   entahlah,Kalimantan Tengah,Juni,9,tehl teman rombongan kerja rs kena katabya vaksinnya bertahan,tehl teman rombong kerja rs kena katabya vaksin tahan,0,neutral,0,tehl teman vaksin rombong awal kerja rs kena covid katabya vaksin tahan entah
guys  nyuk kite vaksin  divisihumaspolri  poldametrojaya  polresjakpus  divisihumaspolri  poldametrojaya  polresmetrojakartapusat    jagajarak    pakaimasker  polritvradiopresisi https  ,Kalimantan Tengah,Juni,12,teman-teman nyuk kite divisihumaspolri poldametrojaya polresjakpus divisihumaspolri poldametrojaya polresmetrojakartapusat jagajarak pakaimasker polritvradiopresisi,teman nyuk kite divisihumaspolri poldametrojaya polresjakpus divisihumaspolri poldametrojaya polresmetrojakartapusat jagajarak pakaimasker polritvradiopresisi,0,neutral,0,guys nyuk kite vaksin divisihumaspolri poldametrojaya polresjakpus divisihumaspolri poldametrojaya polresmetrojakartapusat jagajarak pakaimasker polritvradiopresisi
vaksin az belain tidur  grok https  ,Kalimantan Tengah,Juni,4,az belain tidur grok,az bain tidur grok,6,positive,1,vaksin az bain tidur grok
 gerai vaksin presisi menteng  vaksininasi massal nasional  polsek metro menteng pimpin kapolsek metro menteng kompol rohman yonky dilatha  sik  https     divisihumaspolri  poldametrojaya  polresjakpus  divisihumaspolri  poldametrojaya https  ,Kalimantan Tengah,Juni,23,gerai presisi menteng vaksininasi massal nasional polsek metro menteng pimpin kapolsek metro menteng kompol rohman yonky dilatha sik divisihumaspolri poldametrojaya polresjakpus divisihumaspolri poldametrojaya,gerai presisi menteng vaksininasi massal nasional polsek metro menteng pimpin kapolsek metro menteng kompol rohman yonky dilatha sik divisihumaspolri poldametrojaya polresjakpus divisihumaspolri poldametrojaya,0,neutral,0,gerai vaksin presisi menteng vaksininasi massal nasional polsek metro menteng pimpin kapolsek metro menteng kompol rohman yonky dilatha sik divisihumaspolri poldametrojaya polresjakpus divisihumaspolri poldametrojaya
beneran vaksin kan bang  bukan  https  tcotnfzxdtkbe,Kalimantan Tengah,Juni,3,beneran bang tcotnfzxdtkbe,beneran bang tcotnfzxdtkbe,3,positive,1,beneran vaksin kan bang bukan tcotnfzxdtkbe
fakta vaksin  https  ,Kalimantan Tengah,Juni,1,fakta,fakta,-3,negative,2,fakta vaksin
 detikcom gelem nek vaksin dalam bentuk permen cecak,Kalimantan Tengah,Juni,6,detikcom gelem nek bentuk permen cecak,detikcom gelem nek bentuk permen cecak,4,positive,1,detikcom gelem nek vaksin dalam bentuk permen cecak
ga sih vaksin seminggu tes swab  hasilnya  positif negatif ,Kalimantan Tengah,Juni,8,ga sih seminggu tes swab hasilnya positif negatif,ga sih minggu tes swab hasil positif negatif,7,positive,1,ga sih vaksin minggu tes swab hasil positif negatif
pandemi melelahkan  bikin kuatir  sungguh menyerap energi  semoga berakhir berhasil melaluinya dalam keadaan  mari giat tertib segerakan vaksin  semoga keadaan membaik ,Kalimantan Tengah,Juni,16,pandemi melelahkan bikin kuatir sungguh menyerap energi semoga berhasil melaluinya mari giat tertib segerakan semoga membaik,pandemi lelah bikin kuatir sungguh serap energi moga hasil lalu mari giat tertib segera moga baik,24,positive,1,pandemi lelah bikin kuatir sungguh serap energi moga akhir hasil lalu dalam ada mari giat tertib segera vaksin moga ada baik
 nursuhailaaa hang vaksin skali kakak wei,Kalimantan Tengah,Juni,5,nursuhailaaa hang skali kakak wei,nursuhailaaa hang skali kakak wei,0,neutral,0,nursuhailaaa hang vaksin skali kakak wei
after effect vaksin az habis muncak mantabb,Kalimantan Tengah,Juni,6,after effect az habis muncak mantabb,after effect az habis muncak mantabb,3,positive,1,after effect vaksin az habis muncak mantabb
tidak perlu  merk   merk baik pemrintah import ratusan juta vaksin merk tsb  nambah  biaya trilyunan   masyarakat  merk vaksin ribet  dikemanain tu vac  dioplos  ganti merklabel  https  ,Kalimantan Tengah,Juni,20,merk merk pemrintah import ratusan juta merk tsb nambah biaya trilyunan masyarakat merk ribet dikemanain tu vac dioplos ganti merklabel,merk merk pemrintah import ratus juta merk tsb nambah biaya trilyunan masyarakat merk ribet dikemanain tu vac oplos ganti merklabel,3,positive,1,tidak perlu merk merk baik pemrintah import ratus juta vaksin merk tsb nambah biaya trilyunan masyarakat merk vaksin ribet dikemanain tu vac oplos ganti merklabel
 tyasyiipii sabar menunggu giliran vaksin,Kalimantan Tengah,Juni,4,tyasyiipii sabar menunggu giliran,tyasyiipii sabar tunggu gilir,6,positive,1,tyasyiipii sabar tunggu gilir vaksin
besok pagi vaksin  malemnya ngeband teriakteriak ,Kalimantan Tengah,Juni,5,besok pagi malemnya ngeband teriakteriak,besok pagi malemnya ngeband teriakteriak,1,positive,1,besok pagi vaksin malemnya ngeband teriakteriak
maju mundur vaksin eh melihat story pas disuntik dilengannye   ,Kalimantan Barat,Maret,7,maju mundur eh story pas disuntik dilengannye,maju mundur eh story pas suntik dilengannye,3,positive,1,maju mundur vaksin eh lihat story pas suntik dilengannye
 jokowi reseller vaksin pakde  minim ambil pck  🙌🙄,Kalimantan Selatan,Januari,6,jokowi reseller pakde minim ambil pck,jokowi reseller pakde minim ambil pck,-8,negative,2,jokowi reseller vaksin pakde minim ambil pck
 veywiniy alhamdulillah vaksin   nunggu panggilan 😊😊😊,Jawa Tengah,Mei,4,veywiniy alhamdulillah nunggu panggilan,veywiniy alhamdulillah nunggu panggil,5,positive,1,veywiniy alhamdulillah vaksin nunggu panggil
 jatah kursi bumn jabatan  mui bikin fatwa  vaksin  halal  tidak  haram  kepentingan bersamaorang bertindak mengunci fatwa memanfaatkannya bargain position  https   https  ,Sumatera Utara,Maret,17,jatah kursi bumn jabatan mui bikin fatwa halal haram kepentingan bersamaorang bertindak mengunci fatwa memanfaatkannya bargain position,jatah kursi bumn jabat mui bikin fatwa halal haram penting bersamaorang tindak kunci fatwa manfaat bargain position,11,positive,1,jatah kursi bumn jabat mui bikin fatwa vaksin halal tidak haram penting bersamaorang tindak kunci fatwa manfaat bargain position
 arifaffendy ho tu laa  alhamdulillah family keno tu dh sembuh  tunggu vaksin jela kno vaksin  ore positive kno cucuk after  months sembuh tu,Papua,Mei,21,arifaffendy ho tu laa alhamdulillah family keno tu dh sembuh tunggu jela kno ore positive kno cucuk after months sembuh tu,arifaffendy ho tu laa alhamdulillah family keno tu dh sembuh tunggu jela kno ore positive kno cucuk after months sembuh tu,11,positive,1,arifaffendy ho tu laa alhamdulillah family keno tu dh sembuh tunggu vaksin jela kno vaksin ore positive kno cucuk after months sembuh tu
nelpon umiknya varo  warnet tutup  ditawarin rumahnya bisanya hitam putih   dahlah tukang foto  gapapa pikirku vaksin  nganter mbak atm beli paketan kawankawan  pulang  mapan tidur  pikirku jam  berangkat kaya,Kalimantan Tengah,April,28,nelpon umiknya varo warnet tutup ditawarin rumahnya bisanya hitam putih dahlah tukang foto gapapa pikirku nganter mbak atm beli paketan kawankawan pulang mapan tidur pikirku jam berangkat kaya,nelpon umiknya varo warnet tutup ditawarin rumah bisa hitam putih dah tukang foto gapapa pikir nganter mbak atm beli paket kawankawan pulang mapan tidur pikir jam berangkat kaya,3,positive,1,nelpon umiknya varo warnet tutup ditawarin rumah bisa hitam putih dah tukang foto gapapa pikir vaksin nganter mbak atm beli paket kawankawan pulang mapan tidur pikir jam berangkat kaya
